name,lng,lat,duration,entertain
南园,121.481301,31.199975,30,4
刘长胜故居,121.452627,31.230292,60,5
中国劳动组合书记部旧址陈列馆,121.470312,31.243878,30,2
中共三大后中央局机关历史纪念馆,121.482779,31.249564,30,3
蔡元培故居陈列馆,121.451830,31.225693,120,4
五卅运动纪念碑,121.480378,31.239972,10,5
鲁迅纪念馆,121.490803,31.275106,90,3
中共四大纪念馆,121.491364,31.260570,60,5
宋庆龄故居,121.445211,31.210635,60,3
龙华烈士纪念馆,121.452918,31.182779,30,2
上海四行仓库抗战纪念馆,121.477512,31.246096,30,2
中共二大会址纪念馆,121.473131,31.230334,60,3
中国社会主义青年团中央机关旧址纪念馆,121.462843,31.221962,30,3
孙中山故居纪念馆,121.474037,31.222129,120,3
中共一大会址纪念馆(中共代表团驻沪办事处纪念馆(周公馆)),121.482029,31.226119,120,5
上海师范大学,121.425802,31.167720,0,0
上海南站,121.434114,31.160853,0,0
